"dim_language_id","name","code"
1,"Afar","aar"
2,"Abkhazian","abk"
3,"Achinese","ace"
4,"Acoli","ach"
5,"Adangme","ada"
6,"Adyghe","ady"
7,"Afro-Asiatic languages","afa"
8,"Afrihili","afh"
9,"Afrikaans","afr"
10,"Ainu","ain"
11,"Akan","aka"
12,"Akkadian","akk"
13,"Albanian","alb"
14,"Aleut","ale"
15,"Algonquian languages","alg"
16,"Southern Altai","alt"
17,"Amharic","amh"
18,"Angika","anp"
19,"Apache languages","apa"
20,"Arabic","ara"
21,"Official Aramaic","arc"
22,"Aragonese","arg"
23,"Armenian","arm"
24,"Mapudungun","arn"
25,"Arapaho","arp"
26,"Artificial languages","art"
27,"Arawak","arw"
28,"Assamese","asm"
29,"Asturian","ast"
30,"Athapascan languages","ath"
31,"Australian languages","aus"
32,"Avaric","ava"
33,"Avestan","ave"
34,"Awadhi","awa"
35,"Aymara","aym"
36,"Azerbaijani","aze"
37,"Banda languages","bad"
38,"Bamileke languages","bai"
39,"Bashkir","bak"
40,"Baluchi","bal"
41,"Bambara","bam"
42,"Balinese","ban"
43,"Basque","baq"
44,"Basa","bas"
45,"Baltic languages","bat"
46,"Beja","bej"
47,"Belarusian","bel"
48,"Bemba","bem"
49,"Bengali","ben"
50,"Berber languages","ber"
51,"Bhojpuri","bho"
52,"Bihari","bih"
53,"Bikol","bik"
54,"Bini","bin"
55,"Bislama","bis"
56,"Siksika","bla"
57,"Bantu languages","bnt"
58,"Bosnian","bos"
59,"Braj","bra"
60,"Breton","bre"
61,"Batak languages","btk"
62,"Buriat","bua"
63,"Buginese","bug"
64,"Bulgarian","bul"
65,"Burmese","bur"
66,"Blin","byn"
67,"Caddo","cad"
68,"Galibi Carib","car"
69,"Catalan","cat"
70,"Caucasian languages","cau"
71,"Cebuano","ceb"
72,"Celtic languages","cel"
73,"Chamorro","cha"
74,"Chibcha","chb"
75,"Chechen","che"
76,"Chagatai","chg"
77,"Chinese","chi"
