"dim_project_id","name"
1,"Acosta_ServiceDesk"
2,"Adtalem"
3,"Affinia"
4,"Alcoa Europe"
5,"Alcoa NOA"
6,"AlvarezMarsal"
7,"Amcor"
8,"Arctic_Glacier"
9,"AVID"
10,"AVID PRO"
11,"BCG Europe"
12,"BCGA"
13,"Bio-Rad Global"
14,"Brown-Forman"
15,"Cambridge_Associates"
16,"Career Education Corporation"
17,"CCH_ServiceDesk"
18,"CEVA_BPO"
19,"Ceva_Global_Service_Desk"
20,"Clariant Service Desk"
21,"CLS ServiceDesk"
22,"CNH"
23,"CNHI_EMEA"
24,"CNHI_NAFTA"
25,"Covance"
26,"Dana"
27,"DeVry"
28,"Duke"
29,"Dunkin Brands Unified Service Desk"
30,"Embraer"
31,"Enel Green Power"
32,"eNett"
33,"Epsilon"
34,"Essilor"
35,"EuropCar"
36,"Evoqua_BPO"
37,"EVOQUA_ServiceDesk"
38,"Ferro"
39,"Firmenich"
40,"Flexera"
41,"Flight_Safety"
42,"Ford"
43,"Goodman Service Desk"
44,"GSK"
45,"Hanon"
46,"Heinz"
47,"Honda"
48,"Huron Consulting Group"
49,"Hydro"
50,"Infineum"
51,"ITSS"
52,"Jaguar Land Rover"
53,"John Deere"
54,"Joy Global"
55,"KDS"
56,"Kelvion"
57,"Klockner_Pentaplast"
58,"LabCorp"
59,"Lakeside_Software"
60,"Levi Strauss Europe"
61,"Life Science Services"
62,"Linde"
63,"Linde_DivestCO"
64,"Locomote"
65,"Louis Vuitton North America"
66,"Magna"
67,"MasterCard"
68,"Miele_and_Cie"
69,"NBA_Service_Desk"
70,"Nestle Global SD"
71,"Nexans_Service_Desk"
72,"Nike_Service_Desk"
73,"Novelis"
74,"Numonyx"
75,"Orbitz WW SD"
76,"Philip_Morris"
77,"PROXIMUS"
78,"Reception Brussels"
79,"Reydel"
80,"Rogers"
81,"Route One"
82,"SGWS"
83,"SNHU"
84,"SSV-POS"
85,"Stryker ITSD"
86,"Sulzer Service Desk"
87,"Swagelok"
88,"Tech On Demand"
89,"Tessco"
90,"Town Sports International"
91,"Travelport"
92,"TRW Global"
93,"TTX Americas"
94,"Valeo"
95,"Vallourec"
96,"Vallourec NA"
97,"Veridium"
98,"Visteon"
99,"Yazaki"
100,"ZF_Service_Desk"
