"tt_uip_service_id","service_id","service_name","language_name","client_name"
1,5,"ESLR_USA_Eng_none_IN1","English","Essilor"
2,6,"ESLR_USA_Fre_none_IN1","French","Essilor"
3,7,"ESLR_USA_Eng_none_M31","English","Essilor"
4,13,"ESLR_CTR_Lng_None_Out","Undefined","Essilor"
5,15,"ESLR_USA_Fre_none_M32","French","Essilor"
6,16,"BRFN_CTR_fre_LL_IN1","French","Brown_Forman"
7,16,"ESLR_USA_Fre_none_IN2","French","Essilor"
8,17,"BRFN_CTR_fre_LL_IN1AH","French","Brown_Forman"
9,17,"ESLR_USA_Fre_none_IN2OV","French","Essilor"
10,18,"BRFN_CTR_fre_LLNR_IN1","French","Brown_Forman"
11,19,"BRFN_CTR_fre_LLNR_IN1AH","French","Brown_Forman"
12,26,"CRFH_CTR_Swe_None_IN1","Swedish","CRF_Health"
13,27,"FLEX_USA_eng_Main_M31","English","Flexera_Software"
14,28,"ALCS_NOR_Nor_None_IN1","Norwegian","Alcoa_Scandinavia"
15,28,"BRFN_CTR_Lng_None_ASBR","Undefined","Brown_Forman"
16,28,"FLEX_USA_eng_Main_IN1","English","Flexera_Software"
17,29,"ALCS_CTR_Lng_None_Out","Undefined","Alcoa_Scandinavia"
18,30,"CRFH_SWE_Swe_None_M30","Swedish","CRF_Health"
19,33,"EURI_ROU_Eng_None_IN1","English","EURID"
20,33,"FLEX_CTR_Lng_None_Out","Undefined","Flexera_Software"
21,34,"EURI_CTR_Lng_None_Out","Undefined","EURID"
22,34,"SFLD_USA_Eng_FlashRecord_M31","English","SFLD_MISC_No_Reporting"
23,35,"ALCS_NOR_Nor_None_M31","Norwegian","Alcoa_Scandinavia"
24,41,"RT_1_CAN_Lng_None_M31","Undefined","Route_One"
25,42,"RT_1_CAN_Fre_Enroll_ASBR","French","Route_One"
26,43,"RT_1_CAN_Fre_Support_ASBR","French","Route_One"
27,44,"HENZ_USA_Eng_None_M31","English","Heinz_Bucharest"
28,45,"HENZ_USA_Eng_None_IN1","English","Heinz_Bucharest"
29,45,"MAUD_USA_eng_None_M31","English","MAUD_Manila"
30,46,"MAUD_USA_eng_None_IN1","English","MAUD_Manila"
31,46,"RT_1_USA_eng_pwreset_IN1","English","Route_One"
32,47,"CRFH_CTR_Swe_None_IN2","Swedish","CRF_Health"
33,47,"MAUD_CTR_Lng_None_Out","Undefined","MAUD_Manila"
34,47,"RT_1_CAN_eng_enroll_IN1","English","Route_One"
35,48,"CRFH_CTR_Swe_None_M32","Swedish","CRF_Health"
36,48,"MAUD_GBR_eng_None_M31","English","MAUD_Romania"
37,48,"RT_1_CAN_eng_support_IN1","English","Route_One"
38,49,"ALCS_NOR_Nor_None_IN2","Norwegian","Alcoa_Scandinavia"
39,49,"MAUD_GBR_eng_None_IN1","English","MAUD_Romania"
40,50,"ALCS_NOR_Nor_None_M32","Norwegian","Alcoa_Scandinavia"
41,51,"HENZ_USA_Eng_PriorityLine_IN1","English","Heinz_Bucharest"
42,52,"BRFN_CTR_Lng_None_DIS1","Undefined","Brown_Forman"
43,53,"BRFN_CTR_Lng_NoRecord_DIS1","Undefined","Brown_Forman"
44,54,"BRFN_CTR_Lng_None_DISAH1","Undefined","Brown_Forman"
45,54,"SAVE_SWE_Swe_None_IN1","Swedish","sanofi_aventis"
46,55,"BRFN_CTR_Lng_NoRecord_DISAH1","Undefined","Brown_Forman"
47,56,"SAVE_CTR_Swe_None_M32","Swedish","sanofi_aventis"
48,59,"RT_1_USA_eng_support_IN1","English","Route_One"
49,60,"RT_1_USA_eng_saturday_IN1","English","Route_One"
50,61,"RT_1_USA_eng_econtract_IN1","English","Route_One"
51,62,"RT_1_USA_eng_pwreset_IN1AH","English","Route_One"
52,63,"RT_1_USA_eng_enroll_IN1","English","Route_One"
53,64,"RT_1_CTR_eng_None_M31","English","Route_One"
54,65,"RT_1_CTR_eng_enroll_M31","English","Route_One"
55,66,"RT_1_CTR_eng_pwreset_M31","English","Route_One"
56,72,"LVNA_CTR_eng_None_ASBR","English","Louis_Vuitton_North_America"
57,73,"LVNA_CTR_spa_None_ASBR","Spanish","Louis_Vuitton_North_America"
58,74,"LVNA_MEX_spa_None_ASBR","Spanish","Louis_Vuitton_North_America"
59,75,"LVNA_BRA_por_None_ASBR","Portuguese","Louis_Vuitton_North_America"
60,78,"LVNA_CTR_Lng_None_M31","Undefined","Louis_Vuitton_North_America"
61,89,"ALCS_CTR_Eng_DRP_IN1","English","Alcoa_Scandinavia"
62,90,"ALCS_CTR_Eng_DRP_M31","English","Alcoa_Scandinavia"
63,91,"ACST_CTR_eng_MC65CBack_OB2","English","Acosta_ServiceDesk"
64,92,"ACST_CTR_eng_MC65_ASBR","English","Acosta_ServiceDesk"
65,97,"CRFH_CAN_Lng_PBR_M31","Undefined","CRF_Health"
66,102,"SAVE_CTR_yue_None_IN1","Chinese Cantonese","sanofi_aventis"
67,103,"SAVE_CTR_cmn_None_IN1","Chinese Mandarin","sanofi_aventis"
68,104,"SAVE_IND_hin_None_IN1","Hindi","sanofi_aventis"
69,105,"SAVE_JPN_jpn_None_IN1","Japanese","sanofi_aventis"
70,106,"SAVE_KOR_kor_None_IN1","Korean","sanofi_aventis"
71,107,"SAVE_THA_tha_None_IN1","Thai","sanofi_aventis"
72,125,"AMCR_ctr_lng_None_M31","Undefined","Amcor"
73,126,"SWAG_USA_Eng_DS_IN1","English","Swagelok"
74,126,"VALL_CTR_Eng_None_IN1","English","Vallourec"
75,127,"SWAG_USA_Eng_Main_IN1","English","Swagelok"
76,127,"VALL_CTR_Eng_MANSAH_IN1","English","Vallourec"
77,128,"SWAG_USA_Eng_DS_M31","English","Swagelok"
78,128,"SWAG_USA_Eng_Main_M31","English","Swagelok"
79,128,"VALL_CTR_Lng_None_Out","Undefined","Vallourec"
80,130,"SPAS_TWN_cmn_None_IN1","Chinese Mandarin","Sanofi_Pasteur"
81,130,"SWAG_USA_Eng_Batphone_IN1","English","Swagelok"
82,130,"SWAG_USA_Eng_DS_IN1AH","English","Swagelok"
83,131,"SPAS_THA_tha_None_IN1","Thai","Sanofi_Pasteur"
84,131,"SWAG_CTR_Lng_None_Out","Undefined","Swagelok"
85,132,"SWAG_USA_Eng_Main_IN1AH","English","Swagelok"
86,133,"SPAS_TWN_eng_None_IN2OVCmn","English","Sanofi_Pasteur"
87,134,"SPAS_THA_eng_None_IN2OVTha","English","Sanofi_Pasteur"
88,140,"ARIS_JPN_eng_None_M32","English","ArisGlobal"
89,141,"ARIS_JPN_jpn_None_IN1","Japanese","ArisGlobal"
90,142,"ARIS_JPN_eng_None_IN2OVJpn","English","ArisGlobal"
91,145,"SAVE_CTR_yue_None_M32","Chinese Cantonese","sanofi_aventis"
92,146,"SAVE_CTR_cmn_None_M32","Chinese Mandarin","sanofi_aventis"
93,147,"SAVE_CTR_hin_None_M32","Hindi","sanofi_aventis"
94,148,"SAVE_CTR_kor_None_M32","Korean","sanofi_aventis"
95,149,"SAVE_CTR_jpn_None_M32","Japanese","sanofi_aventis"
96,150,"SAVE_CTR_yue_None_IN2","Chinese Cantonese","sanofi_aventis"
97,151,"SAVE_CTR_cmn_None_IN2","Chinese Mandarin","sanofi_aventis"
98,152,"SAVE_IND_hin_None_IN2","Hindi","sanofi_aventis"
